Restaurant ID,Restaurant Name,Rating,Cuisines,Price for Two
339,Kung Thai,4,"31, 2, 7, 2","Rs1,000"
340,Mugz Cafe,4.2,"9, 15, 6",Rs950
341,Dhaba 29,4.2,"26,  1, 6, 8","Rs1,500"
342,Cafe G - Crowne Plaza,4.2,"26,  9, 7, 6","Rs4,000"
343,SugarLicious,4.2,"8, 10, 15, 12, 6, 8, 6",Rs600
344,Ranisa N Rajasa,4.4,"27, 8, 6","Rs1,000"
345,Rominus Pizza And Burger,4,"15, 10, 10",Rs500
346,Biryani Blues,3.9,"13, 13, 25",Rs900
347,Dribble,3.7,"6, 6, 6, 9, 15, 15, 10, 8",Rs850
348,Ice Pice,4.3,"6, 8, 8, 6",Rs300
349,Bengal Curry,3.8,"5, 28","Rs1,200"
350,Thalairaj Biryani,4.4,"14, 13, 13, 30,  6",Rs600
351,Taco Bell,3.4,"22, 10, 12, 2, 8, 6",Rs500
352,Big Dream Cafe,3.3,"26,  10, 6, 8","Rs1,800"
353,Courtyard Grill - Courtyard by Marriott,4.3,26,"Rs3,000"
354,Sky Club - Rhythm Gurugram,3.8,26,"Rs2,200"
355,Grubsoul Seafoods,4.8,"28, 26","Rs1,500"
356,The Joint Cafe,4.2,"9, 10, 10, 7, 12, 15, 6, 8","Rs1,700"
357,Diamond Hotel & Restaurant,3.4,"26,  10, 7, 10, 6",Rs500
358,Warehouse Cafe,4.1,"10, 26,  9, 15, 15, 10","Rs2,500"
359,Be Raw,4.3,"26,  7, 13, 2, 6, 10, 6","Rs1,000"
360,Solasta,3.8,"26,  9, 7, 2, 31","Rs1,200"
361,Pero,3.8,"12, 6, 9, 8",Rs600
362,FYB Health Cafe,3.8,"6, 6, 12, 9, 15, 6, 6","Rs1,000"
363,Brownyumm-100% Wholewheat Brownies,4.3,"8, 8",Rs900
364,Gigi Bistro Indiano,4.4,"26,  21, 2, 7, 15","Rs1,900"
365,Subway,4.4,"12, 10, 10, 12, 12, 6",Rs400
366,Kailash Dhaba,3.3,26,Rs450
367,Sabse Sasta Spicy Food,3.8,"7, 26,  30,  10, 2, 15, 10, 10",Rs350
368,Cake,3.6,"8, 8",Rs250
369,Parvanii,3.6,"5, 14, 26,  28, 8, 6",Rs500
370,China Club,4.3,"7, 2, 28, 2, 2","Rs4,000"
371,Aminia,4.3,"26,  25, 13, 10, 5",Rs600
372,Crave Bar - Radisson,3.9,"10, 6","Rs3,000"
373,Melange - The Pllazio Hotel,4.1,"26,  2, 9, 15, 6","Rs3,500"
374,THE NYC BURRITO,3.8,"22, 10, 12",Rs400
375,Kanha Rajwadi Thal,3.5,"27, 26,  30,  7, 10, 10, 6","Rs1,000"
376,Dadi Key Rasoi,3.9,"26,  7, 10, 10, 6",Rs300
377,Jamie Oliver Kitchen Cafe,4.3,"12, 6, 12, 10, 6, 9","Rs1,800"
378,Tuckinn Fresh Beer Cafe,4.4,"7, 12, 26,  9, 28, 2, 25, 15","Rs2,000"
379,Raaz Dhaba,3.7,"7, 26,  25",Rs500
380,Burger Point,4.1,"10, 10, 10, 12, 6",Rs450
381,Biryani Blus,3.9,"13, 25",Rs300
382,Cake Plaza,3.9,8,Rs450
383,Rolls Town,3.9,"10, 7",Rs200
384,AMPM Store,3.7,"10, 10, 15, 10, 8, 6, 6",Rs400
385,Big Smokin Burgers,3.8,"10, 10, 10, 12, 6, 6",Rs300
386,Cafe Coffee Day,3.3,"6, 8, 6, 6, 6, 10, 8",Rs750
387,3 Hum Cafe,3.9,"6, 6, 15, 15, 10, 10, 8, 6",Rs600
388,Parisian,4.2,"8, 8","Rs2,000"
389,The Old Delhi,3.3,"26,  25, 13, 1, 10",Rs650
390,Sasa Cafe,3.5,"26,  7, 15, 10","Rs1,000"
391,Kitchen District - Hyatt Regency Gurgaon,4.1,"2, 9, 26","Rs3,500"
392,Flavours by Golden Tulip Hotel,4.2,"9, 26,  7, 12, 8, 6","Rs1,800"
393,Greppo Cafe,3.6,"26,  7, 9, 2, 15, 10, 12, 8","Rs1,700"
394,The Glutton Cafe,3.8,"26,  28, 7, 8","Rs1,000"
395,Chai 06,3.6,"6, 10, 15, 7, 2, 10, 6",Rs500
396,Sada Punjab,3.6,"26,  10, 6",Rs350
397,The Maclo Cafe,3.5,"26,  15, 15, 10, 7, 10, 10, 6",Rs300
398,Nazim Khan Kathi Roll,3.3,"10, 7, 26,  10",Rs600
399,69 Bakers Street,3.7,8,Rs550
400,Haryanvi Handi Chicken,3.7,26,Rs350
401,Healthy Clan,3.8,"12, 6, 6, 6",Rs450
402,Shree Om Food Plaza,3.8,"26,  7, 10",Rs450
403,Pirates Pizza,3.5,"15, 10, 10, 6",Rs450
404,Dhaba NH8,3.9,"26,  25",Rs250
405,Chaiiwala Honest Tea,3.7,"7, 26,  10, 6",Rs200
406,B2B - Between 2 Buns,3.8,"10, 7, 10, 6",Rs400
407,Biso - Citrus Hotel,3.7,"26,  7, 9, 16, 15","Rs2,500"
408,Shreya Shuddh Bhojanalya,3.4,"26,  10",Rs400
409,Bengali Bistro,3.6,"26,  25, 7, 13, 28, 10",Rs650
410,Xpressions Caffe,4,"6, 6, 6, 26,  15, 22, 10, 10",Rs600
411,New Town Cafe - Park Plaza,3.3,"26,  10, 2, 10, 8, 6","Rs2,700"
412,Midam,3.7,18,"Rs1,800"
413,Thai Pavilion - Taj City Centre Gurugram,4.6,"31, 2, 28, 8, 16, 16","Rs5,000"
414,WOW! China,3.6,7,Rs400
415,The Groove,3.7,"9, 2, 15, 26","Rs2,800"
416,Cafe Mezna - Flavours Of Middle East,3.9,"23, 32, 10, 6","Rs1,200"
417,The Forestta,3.4,"26,  7, 15, 9, 8, 6","Rs1,000"
418,Zanotta - The Leela Ambience,4.3,"15, 8, 6","Rs5,000"
419,Hashtag Pizzeria,4.1,"15, 10, 6, 6, 15",Rs600
420,The Food Store - DoubleTree By Hilton,4,"26,  9, 15, 8","Rs3,500"
421,Barumbaa Bar & Bistro,4.1,"9, 26,  15, 15, 8, 21","Rs2,500"
422,Jannat Vaishno Dhaba,3.6,"26,  7, 10",Rs550
423,Love Over Coffee,4.5,"6, 6, 10","Rs1,000"
424,Tossin Pizza,4.2,"15, 15, 15, 6, 6, 8, 10","Rs1,200"
425,The Kachori Story,3.9,"10, 10, 8, 6, 27",Rs400
426,Thali Mania,3.7,26,Rs300
427,Kaynat Special Biryani,3.6,"13, 26",Rs400
428,Tandoori Grill,3.5,"26,  13","Rs1,000"
429,Sikkim Downtown Chinese Fastfood,3.7,"7, 2",Rs400
430,Bake My Cake,3.4,"8, 8",Rs400
431,HR 43 Dhaba,3.6,"7, 26,  13, 6",Rs400
432,Shahi Biryani,3.3,"13, 26",Rs500
433,Pizza Hut,3.3,"15, 10, 15, 8, 6",Rs600
434,Celebration Cake Shop,3.4,"8, 8",Rs400
435,Madhuz Kitchen,3.9,"26,  7, 25, 10",Rs500
436,Red Chilliz,3.7,"26,  7",Rs400
437,24Seven,3.7,"10, 10, 26",Rs300
438,Jai Jawan Jai Kisan - South Indian Fast Food,3.3,30,Rs200
439,Curry Station,3.5,"7, 26,  25",Rs500
440,Party Time Pizza,3.6,"15, 15, 10, 10, 12, 2, 6, 6",Rs250
441,Brothers Restaurant,3.7,26,Rs150
442,The Kiar Cafe,3.6,"7, 10, 2, 15, 26,  10, 10, 6",Rs400
443,Mavensh Kitchen,3.8,"26,  25, 7, 10, 13, 6",Rs900
444,Midnight Pizza,3.8,"15, 10",Rs550
445,Signature Cafe,3.6,"7, 26,  28, 10, 10, 10, 2",Rs400
446,KK Chinese Corner,3.9,"7, 26",Rs300
447,La Mensa Restaurant,3.6,"26,  7, 6, 8",Rs450
448,RollsKing,3.4,"10, 26,  6, 10",Rs300
449,Abir,3.9,"14, 9, 6","Rs1,500"
450,Vibe,4.4,"22, 9, 2, 26,  8","Rs4,000"
